Ref Name,Description,Value / Type
BT,5 way Pin Header,
C1,Electrolytic Capacitor,22uF
C3,Ceramic Capacitor,1n
C4,Ceramic Capacitor,1u
C5,Ceramic Capacitor,1u
Current,Pluggable Terminal 5.08mm 4pin,-
D1,Diode Schottky 1A 40V DO41,1N5819RL
Expansion,,-
Ext,Pluggable Terminal 5.08mm 4pin,-
FS1,"Polyfuse, 250mA",250mA
MotorPWM,Pluggable Terminal 5.08mm 2pin,-
PowerIn,Pluggable Terminal 5.08mm 3pin,-
PWM,LED 5mm,-
Q1,Transistor,BC547
R1,Resistor,82K
R2,Resistor,16K
R3,Resistor,33K
R4,Resistor,16K
R5,Resistor,10K
R6,Resistor,1K
R7,Resistor,10K
R8,Resistor,1K
R9,Resistor,1K
R10,Resistor,1K
R11,Resistor,1K
R12,Resistor,1K
R13,Resistor,1K
R14,Resistor,1K
R15,Resistor,470R
R16,Resistor,1K
R17,Resistor,1K
R18,Resistor,1K
R19,Resistor,1K
R20,Resistor,4K7
R21,Resistor,4K7
R22,Resistor,10K
R23,Resistor,10K
R24,Resistor,47K
RPM,Pluggable Terminal 5.08mm 4pin,-
Therm,Pluggable Terminal 5.08mm 3pin,-
Throttle,Pluggable Terminal 5.08mm 3pin,-
U1,Arduino Headers,-
U2,"Regulator,6.5-32Vin,5Vout 1A",TSR_1-2450
U3,Dual BIFET Op Amp,MCP6002
